model,FD001
sgd,15.910583729663204
svr,19.726635156868618
cnn,21.605427575474298
cnn_lstm,19.280664635585705
bilstm,20.068608162150117
bilstm_feature_attn,20.058041462659432
bilstm_temporal_attn,18.615480611677874
bilstm_attn,17.852220077804162
